Unnamed: 0,0,malcolm/REA_GenderIdentification_v1_Prediction,malcolm/REA_GenderIdentification_v1_Confidence,priyabrat/gender_Prediction,priyabrat/gender_Confidence,finetuned_llama3.1_Prediction
1,keemlin,M,0.8025825619697571,M,0.7788334488868713,M
2,mathijs,M,0.96934974193573,M,0.976669430732727,M
3,mai-linh,F,0.9888279438018799,F,0.9950876832008362,F
4,narda,F,0.9959948062896729,F,0.9977309107780457,F
5,inamul,M,0.8594443798065186,M,0.869560718536377,M
6,claes,M,0.9799205660820007,M,0.9860712885856628,M
7,milissa,F,0.9991713762283325,F,0.9993313550949097,F
8,chihua,F,0.7245006561279297,F,0.7903555631637573,F
9,raynita,F,0.9989363551139832,F,0.999135434627533,F
10,beneece,F,0.9088470935821533,F,0.9484816789627075,F
11,amard,M,0.9819600582122803,M,0.9887182712554932,M
12,abretia,F,0.99874347448349,F,0.9991089701652527,F
13,jayadevan,M,0.9899660348892212,M,0.9921771883964539,M
14,moutasem,M,0.9837692379951477,M,0.9880736470222473,M
15,sisira,F,0.9988846182823181,F,0.9991834759712219,F
16,dantae,M,0.9954492449760437,M,0.9969480633735657,M
17,tien,M,0.7738968133926392,M,0.8043603301048279,F
18,francin,M,0.9702592492103577,M,0.975665271282196,F
19,mahammad,M,0.9846748113632202,M,0.9886821508407593,M
20,burhan,M,0.9635692834854126,M,0.9760704636573792,M
21,maximilian,M,0.9973857998847961,M,0.9978456497192383,M
22,anah,F,0.9972819089889526,F,0.9983865022659302,F
23,aphrodite,F,0.9816874861717224,F,0.9906371235847473,F
24,katsuto,M,0.9367838501930237,M,0.9330753684043884,M
25,stanislaw,M,0.9928643703460693,M,0.9947532415390015,M
26,sook kyung,M,0.8599438667297363,M,0.8897300362586975,F
27,veronia,F,0.9989878535270691,F,0.9992140531539917,F
28,darcey,F,0.924535870552063,F,0.9635850191116333,F
29,leann,F,0.9581044912338257,F,0.9771989583969116,F
30,lizamarie,F,0.9992621541023254,F,0.9993532299995422,F
31,dilmubarak,M,0.9954999089241028,M,0.9962621331214905,M
32,ajit,M,0.9842042326927185,M,0.989090621471405,M
33,zefr,M,0.9822262525558472,M,0.9863598942756653,F
34,srujan,M,0.9541863203048706,M,0.9716543555259705,M
35,meysam,F,0.9904584884643555,F,0.9948559999465942,M
36,kalea,F,0.9984925985336304,F,0.9989726543426514,F
37,maria-azucena,F,0.9991726279258728,F,0.9993176460266113,F
38,tonnia,F,0.9985055923461914,F,0.9989239573478699,F
39,surveen,F,0.9519303441047668,F,0.9743941426277161,F
40,shang i,M,0.9241542220115662,M,0.9506898522377014,M
41,rashaeda,F,0.9985777139663696,F,0.998953104019165,F
42,rasheeda,F,0.9949702620506287,F,0.9971786737442017,F
43,hyacinth,F,0.9564922451972961,F,0.9812148809432983,F
44,idljona,F,0.9900689721107483,F,0.9937477111816406,M
45,kenilia,F,0.9987667798995972,F,0.9991230368614197,F
46,rokhsar,M,0.881674587726593,M,0.9083961844444275,F
47,jyothsna,F,0.9953415393829346,F,0.9968366622924805,F
48,lirka,F,0.9980376362800598,F,0.998794436454773,F
49,chereka,F,0.9991483688354492,F,0.9992547631263733,F
50,jadeleize,F,0.9982326030731201,F,0.9989227652549744,F
51,emese,F,0.9733802080154419,F,0.9874693155288696,F
52,koulin,M,0.914915919303894,M,0.932050883769989,M
53,karleena,F,0.9990767240524292,F,0.9991711378097534,F
54,warangkana,F,0.9616997838020325,F,0.9688745737075806,F
55,de arco,M,0.996179461479187,M,0.9968199729919434,M
56,leatha,F,0.9988009929656982,F,0.9990946054458618,F
57,verniecea,F,0.998960018157959,F,0.9991790652275085,F
58,anushri,F,0.9282418489456177,F,0.9623046517372131,F
59,shahila,F,0.9985632300376892,F,0.9990179538726807,F
60,tay-ing,M,0.5634267926216125,M,0.5494551658630371,F
61,lokesh,M,0.989523708820343,M,0.9926562309265137,M
62,mi kyung,M,0.6264950037002563,M,0.5737341046333313,F
63,elizalde,F,0.9950418472290039,F,0.9977327585220337,M
64,mithlesh,M,0.9552740454673767,M,0.9672443866729736,M
65,herminder,M,0.9772902727127075,M,0.983360767364502,M
66,lecy,F,0.6043723225593567,F,0.6654704213142395,F
